,District,DateId,new_DateId,post_count
4448325,中山區,20180415,2018-04-15,1
4564424,中山區,20180414,2018-04-14,2
4568848,中山區,20180413,2018-04-13,3
4445327,中山區,20180412,2018-04-12,2
4593069,中山區,20180411,2018-04-11,1
4569629,中山區,20180410,2018-04-10,4
4487340,中山區,20180409,2018-04-09,2
4578121,中山區,20180408,2018-04-08,3
4595823,中山區,20180407,2018-04-07,3
4560912,中山區,20180406,2018-04-06,1
4530111,中山區,20180405,2018-04-05,1
4391578,中山區,20180404,2018-04-04,2
4311607,中山區,20180403,2018-04-03,4
4615171,中山區,20180402,2018-04-02,2
4586211,中山區,20180401,2018-04-01,2
4476819,中山區,20180331,2018-03-31,4
4388773,中山區,20180330,2018-03-30,3
4327739,中山區,20180329,2018-03-29,5
4405948,中山區,20180328,2018-03-28,3
4493273,中山區,20180327,2018-03-27,3
4428457,中山區,20180326,2018-03-26,1
4321877,中山區,20180325,2018-03-25,3
4490721,中山區,20180324,2018-03-24,1
4317464,中山區,20180323,2018-03-23,0
4341349,中山區,20180322,2018-03-22,0
4395238,中山區,20180321,2018-03-21,6
4394785,中山區,20180320,2018-03-20,3
4313980,中山區,20180319,2018-03-19,1
4202793,中山區,20180318,2018-03-18,3
4225173,中山區,20180317,2018-03-17,4
4412092,中山區,20180315,2018-03-15,3
4328289,中山區,20180314,2018-03-14,5
4236280,中山區,20180313,2018-03-13,3
4157967,中山區,20180312,2018-03-12,4
4280844,中山區,20180311,2018-03-11,5
4285667,中山區,20180310,2018-03-10,6
4210452,中山區,20180309,2018-03-09,2
4235918,中山區,20180308,2018-03-08,3
4205769,中山區,20180307,2018-03-07,1
4149298,中山區,20180305,2018-03-05,3
4225391,中山區,20180304,2018-03-04,5
4252744,中山區,20180303,2018-03-03,2
4191901,中山區,20180301,2018-03-01,2
4163834,中山區,20180228,2018-02-28,6
4166251,中山區,20180227,2018-02-27,2
4028951,中山區,20180226,2018-02-26,5
4076278,中山區,20180225,2018-02-25,1
3992162,中山區,20180222,2018-02-22,4
4239407,中山區,20180221,2018-02-21,1
4182945,中山區,20180218,2018-02-18,0
4117985,中山區,20180213,2018-02-13,3
3986522,中山區,20180209,2018-02-09,4
3986728,中山區,20180207,2018-02-07,4
4177436,中山區,20180202,2018-02-02,2
4112669,中山區,20180201,2018-02-01,1
3960592,中山區,20180131,2018-01-31,0
4005423,中山區,20180130,2018-01-30,4
4062778,中山區,20180129,2018-01-29,6
4056939,中山區,20180126,2018-01-26,1
4079203,中山區,20180125,2018-01-25,1
3954898,中山區,20180124,2018-01-24,4
4058973,中山區,20180123,2018-01-23,5
4079686,中山區,20180122,2018-01-22,5
3840818,中山區,20180121,2018-01-21,8
3859880,中山區,20180120,2018-01-20,6
3881979,中山區,20180119,2018-01-19,1
3775237,中山區,20180118,2018-01-18,2
3665444,中山區,20180117,2018-01-17,3
4073975,中山區,20180116,2018-01-16,1
3968881,中山區,20180115,2018-01-15,3
3876916,中山區,20180114,2018-01-14,5
3795051,中山區,20180113,2018-01-13,3
3851405,中山區,20180112,2018-01-12,1
3792761,中山區,20180111,2018-01-11,5
3815287,中山區,20180110,2018-01-10,4
3870918,中山區,20180109,2018-01-09,2
3786651,中山區,20180108,2018-01-08,2
3868066,中山區,20180107,2018-01-07,4
3783787,中山區,20180106,2018-01-06,2
3809490,中山區,20180105,2018-01-05,1
3910809,中山區,20180104,2018-01-04,1
3916208,中山區,20180103,2018-01-03,4
3826682,中山區,20180102,2018-01-02,7
3692845,中山區,20180101,2018-01-01,5
3496859,中山區,20171230,2017-12-30,8
3775961,中山區,20171229,2017-12-29,3
3704569,中山區,20171228,2017-12-28,3
3599904,中山區,20171227,2017-12-27,3
3596787,中山區,20171226,2017-12-26,5
3623130,中山區,20171225,2017-12-25,5
3596933,中山區,20171224,2017-12-24,3
3676138,中山區,20171223,2017-12-23,2
3747637,中山區,20171222,2017-12-22,5
3639897,中山區,20171221,2017-12-21,2
3614319,中山區,20171220,2017-12-20,5
3613969,中山區,20171219,2017-12-19,3
3494439,中山區,20171218,2017-12-18,3
3461378,中山區,20171217,2017-12-17,4
3758323,中山區,20171216,2017-12-16,3
3488858,中山區,20171215,2017-12-15,4
3535692,中山區,20171214,2017-12-14,1
3430283,中山區,20171213,2017-12-13,0
3317588,中山區,20171212,2017-12-12,1
3425188,中山區,20171211,2017-12-11,3
3312882,中山區,20171210,2017-12-10,6
3444317,中山區,20171209,2017-12-09,2
3444684,中山區,20171207,2017-12-07,4
3572338,中山區,20171206,2017-12-06,3
3326893,中山區,20171205,2017-12-05,3
3399960,中山區,20171204,2017-12-04,3
3516545,中山區,20171203,2017-12-03,5
3436446,中山區,20171202,2017-12-02,0
3320344,中山區,20171201,2017-12-01,3
3346051,中山區,20171130,2017-11-30,1
3264566,中山區,20171129,2017-11-29,1
3258239,中山區,20171128,2017-11-28,5
3360540,中山區,20171127,2017-11-27,1
3255954,中山區,20171126,2017-11-26,0
3141531,中山區,20171125,2017-11-25,6
3146196,中山區,20171124,2017-11-24,2
3138064,中山區,20171123,2017-11-23,5
3157875,中山區,20171122,2017-11-22,5
3155018,中山區,20171121,2017-11-21,2
3074368,中山區,20171120,2017-11-20,2
3346509,中山區,20171119,2017-11-19,5
3242508,中山區,20171118,2017-11-18,2
3221708,中山區,20171117,2017-11-17,5
2958713,中山區,20171116,2017-11-16,0
2954039,中山區,20171115,2017-11-15,2
3045873,中山區,20171114,2017-11-14,3
3101742,中山區,20171113,2017-11-13,3
3039978,中山區,20171112,2017-11-12,2
2908635,中山區,20171111,2017-11-11,5
2788905,中山區,20171110,2017-11-10,2
2808162,中山區,20171109,2017-11-09,1
3023691,中山區,20171108,2017-11-08,3
2805165,中山區,20171107,2017-11-07,2
2780579,中山區,20171106,2017-11-06,5
2992776,中山區,20171105,2017-11-05,4
2779269,中山區,20171104,2017-11-04,5
2804543,中山區,20171103,2017-11-03,6
2800189,中山區,20171102,2017-11-02,0
2710043,中山區,20171101,2017-11-01,0
2626246,中山區,20171031,2017-10-31,0
2791768,中山區,20171030,2017-10-30,2
2730337,中山區,20171029,2017-10-29,2
2774982,中山區,20171028,2017-10-28,3
2637839,中山區,20171027,2017-10-27,5
2724254,中山區,20171026,2017-10-26,3
2615214,中山區,20171025,2017-10-25,2
2612006,中山區,20171024,2017-10-24,3
2607222,中山區,20171023,2017-10-23,5
2712834,中山區,20171022,2017-10-22,1
2676365,中山區,20171021,2017-10-21,3
2589955,中山區,20171020,2017-10-20,1
2838511,中山區,20171019,2017-10-19,4
2710488,中山區,20171018,2017-10-18,1
2601209,中山區,20171017,2017-10-17,8
2537050,中山區,20171016,2017-10-16,1
2584418,中山區,20171015,2017-10-15,3
2537380,中山區,20171013,2017-10-13,7
2426008,中山區,20171012,2017-10-12,3
2640578,中山區,20171011,2017-10-11,5
2576636,中山區,20171010,2017-10-10,4
2445570,中山區,20171009,2017-10-09,2
2528623,中山區,20171008,2017-10-08,2
2640772,中山區,20171007,2017-10-07,2
2679757,中山區,20171006,2017-10-06,3
2526033,中山區,20171005,2017-10-05,2
2543104,中山區,20171004,2017-10-04,2
2545828,中山區,20171003,2017-10-03,1
2435566,中山區,20171002,2017-10-02,1
2505764,中山區,20171001,2017-10-01,4
2462754,中山區,20170929,2017-09-29,3
2643656,中山區,20170928,2017-09-28,5
2451277,中山區,20170926,2017-09-26,5
2500629,中山區,20170925,2017-09-25,1
2391889,中山區,20170924,2017-09-24,5
2340575,中山區,20170922,2017-09-22,4
2272819,中山區,20170921,2017-09-21,4
2469420,中山區,20170920,2017-09-20,3
2383915,中山區,20170919,2017-09-19,1
2246684,中山區,20170918,2017-09-18,7
2488111,中山區,20170917,2017-09-17,2
2241040,中山區,20170916,2017-09-16,5
2266927,中山區,20170915,2017-09-15,5
2488608,中山區,20170914,2017-09-14,1
2357807,中山區,20170913,2017-09-13,2
2263785,中山區,20170912,2017-09-12,2
2328960,中山區,20170911,2017-09-11,1
2289252,中山區,20170910,2017-09-10,2
2175343,中山區,20170908,2017-09-08,2
2063526,中山區,20170907,2017-09-07,3
2477155,中山區,20170906,2017-09-06,3
2370064,中山區,20170905,2017-09-05,2
2255228,中山區,20170904,2017-09-04,3
2146088,中山區,20170903,2017-09-03,4
2057666,中山區,20170902,2017-09-02,4
2106367,中山區,20170901,2017-09-01,5
2168602,中山區,20170831,2017-08-31,2
2258688,中山區,20170830,2017-08-30,6
2163523,中山區,20170829,2017-08-29,2
2160592,中山區,20170827,2017-08-27,4
2072133,中山區,20170826,2017-08-26,2
2098177,中山區,20170825,2017-08-25,3
2338076,中山區,20170824,2017-08-24,2
2091859,中山區,20170823,2017-08-23,4
2201151,中山區,20170821,2017-08-21,9
2137726,中山區,20170819,2017-08-19,2
2027216,中山區,20170818,2017-08-18,3
1914829,中山區,20170817,2017-08-17,8
2171809,中山區,20170816,2017-08-16,2
2060416,中山區,20170815,2017-08-15,6
1973602,中山區,20170814,2017-08-14,3
1888242,中山區,20170813,2017-08-13,3
1909266,中山區,20170812,2017-08-12,0
1905799,中山區,20170811,2017-08-11,3
1936398,中山區,20170810,2017-08-10,3
2015527,中山區,20170809,2017-08-09,3
1928275,中山區,20170808,2017-08-08,3
1964980,中山區,20170807,2017-08-07,1
1900673,中山區,20170806,2017-08-06,4
2120464,中山區,20170805,2017-08-05,1
1965282,中山區,20170804,2017-08-04,4
1922557,中山區,20170803,2017-08-03,1
1985454,中山區,20170802,2017-08-02,0
1894647,中山區,20170801,2017-08-01,4
1812245,中山區,20170731,2017-07-31,4
1721829,中山區,20170730,2017-07-30,3
2024608,中山區,20170729,2017-07-29,0
1912049,中山區,20170728,2017-07-28,3
1806631,中山區,20170727,2017-07-27,5
1716955,中山區,20170726,2017-07-26,1
1824186,中山區,20170725,2017-07-25,1
1739347,中山區,20170724,2017-07-24,3
1844181,中山區,20170723,2017-07-23,5
1711023,中山區,20170722,2017-07-22,3
1761452,中山區,20170721,2017-07-21,4
1866310,中山區,20170720,2017-07-20,3
1790810,中山區,20170719,2017-07-19,1
1727620,中山區,20170718,2017-07-18,3
1837836,中山區,20170717,2017-07-17,2
1702725,中山區,20170716,2017-07-16,6
1615369,中山區,20170715,2017-07-15,4
1551381,中山區,20170714,2017-07-14,4
1555966,中山區,20170713,2017-07-13,3
1874727,中山區,20170712,2017-07-12,3
1609687,中山區,20170711,2017-07-11,3
1523008,中山區,20170710,2017-07-10,3
1519811,中山區,20170709,2017-07-09,5
1572758,中山區,20170708,2017-07-08,1
1565470,中山區,20170707,2017-07-07,2
1536679,中山區,20170706,2017-07-06,2
1559070,中山區,20170705,2017-07-05,2
1534095,中山區,20170704,2017-07-04,4
1531046,中山區,20170703,2017-07-03,1
1430154,中山區,20170702,2017-07-02,5
1380108,中山區,20170701,2017-07-01,1
1525562,中山區,20170630,2017-06-30,2
1444258,中山區,20170629,2017-06-29,2
1351038,中山區,20170628,2017-06-28,3
1349321,中山區,20170627,2017-06-27,1
1348141,中山區,20170626,2017-06-26,1
1345417,中山區,20170625,2017-06-25,1
1348490,中山區,20170624,2017-06-24,1
