,City,Code,Name,Name_En
0,新北市,466880,板橋,BANQIAO
1,新北市,466900,淡水,TAMSUI
2,臺北市,466910,鞍部,ANBU
3,臺北市,466920,臺北,TAIPEI
4,臺北市,466930,竹子湖,ZHUZIHU
5,基隆市,466940,基隆,KEELUNG
6,基隆市,466950,彭佳嶼,PENGJIAYU
7,花蓮縣,466990,花蓮,HUALIEN
8,桃園市,467050,新屋,XINWU
9,宜蘭縣,467060,蘇澳,SU-AO
10,宜蘭縣,467080,宜蘭,YILAN
11,金門縣,467110,金門,KINMEN
12,澎湖縣,467300,東吉島,DONGJIDAO
13,澎湖縣,467350,澎湖,PENGHU
14,臺南市,467410,臺南,TAINAN
15,臺南市,467420,永康,YONGKANG
16,高雄市,467440,高雄,KAOHSIUNG
17,嘉義市,467480,嘉義,CHIAYI
18,臺中市,467490,臺中,TAICHUNG
19,嘉義縣,467530,阿里山,ALISHAN
20,臺東縣,467540,大武,DAWU
21,南投縣,467550,玉山,YUSHAN
22,新竹縣,467571,新竹,HSINCHU
23,屏東縣,467590,恆春,HENGCHUN
24,臺東縣,467610,成功,CHENGGONG
25,臺東縣,467620,蘭嶼,LANYU
26,南投縣,467650,日月潭,SUNMOONLAKE
27,臺東縣,467660,臺東,TAITUNG
28,臺中市,467770,梧棲,WUQI
29,連江縣,467990,馬祖,MATSU
30,新北市,C0A520,山佳,Shanjia
31,新北市,C0A530,坪林,Pinglin
32,新北市,C0A540,四堵,Sihdu
33,新北市,C0A550,泰平,Taiping
34,新北市,C0A560,福山,Fushan
35,新北市,C0A570,桶後,Tonghou
36,新北市,C0A580,屈尺,Cyuchih
37,新北市,C0A640,石碇,Shihding
38,新北市,C0A650,火燒寮,Huoshaoliao
39,新北市,C0A660,瑞芳,Rueifang
40,新北市,C0A860,大坪,Daping
41,新北市,C0A870,五指山,Wujhihshan
42,新北市,C0A880,福隆,Fulong
43,新北市,C0A890,雙溪,Shuangsi
44,新北市,C0A920,富貴角,Fugueijiao
45,新北市,C0A931,三和,Sanhe
46,新北市,C0A940,金山,Jinshan
47,新北市,C0A950,鼻頭角,Bitoujiao
48,新北市,C0A970,三貂角,Sandiaojiao
49,臺北市,C0A980,社子,Shezih
50,臺北市,C0A9A0,大直,Dazhi
